distance,placeName,distanceNumber,hotelId
810m,Marina Bay,810,998612
95m,Civilian War Memorial,95,998612
125m,Spa by JW,125,998612
138m,Willow Stream Spa,138,998612
141m,Lalin Gallery,141,998612
214m,Big Bus Singapore,214,998612
226m,Chan Hampe Galleries,226,998612
226m,Estheva Spa,226,998612
249m,DUCK Tours,249,998612
269m,Suntec Singapore International Convention and Exhibition Centre,269,998612
275m,Twenty.Six@Purvis,275,998612
21.5km,Singapore Changi Airport,21490,996310
30km,Woodlands Train Checkpoint,30040,996310
310m,Raffles Place,310,996310
770m,Telok Ayer,770,996310
1.2km,Marina Bay,1240,996310
69m,One Fullerton,69,996310
72m,Merlion Park,72,996310
156m,Foundation Stone of the Monument of the Early Founders of Singapore,156,996310
156m,The Fullerton Spa,156,996310
199m,Jubilee Bridge,199,996310
219m,Statue of Raffles,219,996310
229m,Cavenagh Bridge,229,996310
235m,The First Generation,235,996310
250m,Anderson Bridge,250,996310
282m,Dalhousie Obelisk,282,996310
20.3km,Singapore Changi Airport,20340,998431
22.2km,Woodlands Train Checkpoint,22180,998431
220m,Esplanade,220,998431
330m,City Hall,330,998431
520m,Marina Bay,520,998431
68m,Spa by JW,68,998431
145m,Civilian War Memorial,145,998431
156m,Big Bus Singapore,156,998431
161m,Lalin Gallery,161,998431
189m,DUCK Tours,189,998431
191m,Willow Stream Spa,191,998431
215m,Suntec Singapore International Convention and Exhibition Centre,215,998431
237m,Chan Hampe Galleries,237,998431
237m,Estheva Spa,237,998431
241m,Twenty.Six@Purvis,241,998431
21.2km,Singapore Changi Airport,21190,712600
29.5km,Woodlands Train Checkpoint,29460,712600
280m,Chinatown,280,712600
360m,Clarke Quay,360,712600
56m,Hong Lim Park,56,712600
124m,Singapore River Festival,124,712600
179m,St. Gregory Spa,179,712600
180m,Thong Chai Medical Institution,180,712600
194m,Shen Nong Spa,194,712600
212m,SL II Muffin,212,712600
215m,Tai Cha Mixed Veg Rice & Porridge,215,712600
220m,Aegean Spa,220,712600
242m,Fingerwork,242,712600
245m,The Merry Lion Comedy Cafe And Bar,245,712600
