"distance","placeName","distanceNumber","hotelId","hotelLocation"
"269m","Keramat Sultan Iskandar Shah",269,687463,"Singapore River"
"270m","Highlander",270,687463,"Singapore River"
"16.4km","Singapore Changi Airport",16360,80508014,"Little India"
"17.3km","Woodlands Train Checkpoint",17320,80508014,"Little India"
"10m","Farrer Park",10,80508014,"Little India"
"780m","Jalan Besar MRT",780,80508014,"Little India"
"260m","Little India",260,80508014,"Little India"
"50m","Thaipusam Festival",50,80508014,"Little India"
"52m","Sri Srinivasa Perumal Temple",52,80508014,"Little India"
"181m","Airzone",181,80508014,"Little India"
"186m","UOB ATM - City Square Mall",186,80508014,"Little India"
"193m","Petain Road",193,80508014,"Little India"
"216m","Farrer Park",216,80508014,"Little India"
"248m","Sakya Muni Buddha Gaya Temple",248,80508014,"Little India"
"252m","Kinetics Climbing Gym",252,80508014,"Little India"
"271m","Leong San See Temple",271,80508014,"Little India"
"352m","Sri Vadapathira Kaliamman Temple",352,80508014,"Little India"
"16.6km","Singapore Changi Airport",16570,687808,"Geylang"
"24.8km","Woodlands Train Checkpoint",24760,687808,"Geylang"
"470m","Paya Lebar",470,687808,"Geylang"
"1.1km","Dakota",1120,687808,"Geylang"
"1.6km","Geylang",1600,687808,"Geylang"
"107m","City Plaza",107,687808,"Geylang"
"234m","Tanjong Katong Complex",234,687808,"Geylang"
"406m","Singapore Pools",406,687808,"Geylang"
"462m","Chin Lien Bible Seminary",462,687808,"Geylang"
"552m","Foo Hai Ch'an Monastery",552,687808,"Geylang"
"557m","Sri Shivan Temple",557,687808,"Geylang"
"610m","Tan Swie Hian Museum",610,687808,"Geylang"
"674m","Geylang Serai",674,687808,"Geylang"
"692m","Tick Tack Toe Foot Spa",692,687808,"Geylang"
"712m","Khadijah Mosque",712,687808,"Geylang"
"14.3km","Singapore Changi Airport",14340,687509,"East Coast"
"26km","Woodlands Train Checkpoint",26010,687509,"East Coast"
"1.3km","Paya Lebar",1320,687509,"East Coast"
"1.5km","Eunos",1500,687509,"East Coast"
"1.1km","East Coast",1070,687509,"East Coast"
"62m","Guanyin Temple, Joo Chiat",62,687509,"East Coast"
"132m","Boo-Ti Parlour",132,687509,"East Coast"
"154m","Samsara Wellness",154,687509,"East Coast"
"183m","Singapore Joo Chiat Food Walk",183,687509,"East Coast"
"224m","The Intan",224,687509,"East Coast"
"318m","Peranakan Houses",318,687509,"East Coast"
"324m","Peranakan Trail",324,687509,"East Coast"
"332m","Koon Seng Road",332,687509,"East Coast"
"393m","Eurasian Heritage Gallery",393,687509,"East Coast"
"433m","Changi Life Style Pte Ltd",433,687509,"East Coast"
"18.1km","Singapore Changi Airport",18130,687633,"Geylang"
"23.8km","Woodlands Train Checkpoint",23770,687633,"Geylang"
"650m","Aljunied",650,687633,"Geylang"
"1.2km","Dakota",1250,687633,"Geylang"
"1km","Geylang",1030,687633,"Geylang"
"151m","Encounter - Real life Suspense Game",151,687633,"Geylang"
"236m","g.spa Fitness and Recreation Hub",236,687633,"Geylang"
"301m","Gymkraft",301,687633,"Geylang"
"400m","Kang Ha Pheng Sim Kok",400,687633,"Geylang"
"408m","Sri Krishna Mandir",408,687633,"Geylang"
"437m","Aljunied",437,687633,"Geylang"
"438m","Khadijah Mosque",438,687633,"Geylang"
"450m","Tick Tack Toe Foot Spa",450,687633,"Geylang"
"601m","Tan Swie Hian Museum",601,687633,"Geylang"
"602m","Zhen Man Fruit Juice",602,687633,"Geylang"
"16.9km","Singapore Changi Airport",16900,687497,"Geylang"
"23.7km","Woodlands Train Checkpoint",23710,687497,"Geylang"
"750m","Aljunied",750,687497,"Geylang"
"1.2km","Mountbatten",1240,687497,"Geylang"
"1.1km","Geylang",1130,687497,"Geylang"
"194m","g.spa Fitness and Recreation Hub",194,687497,"Geylang"
"216m","Encounter - Real life Suspense Game",216,687497,"Geylang"
"248m","Gymkraft",248,687497,"Geylang"
"379m","Kang Ha Pheng Sim Kok",379,687497,"Geylang"
"474m","Sri Krishna Mandir",474,687497,"Geylang"
"489m","Aljunied",489,687497,"Geylang"
"502m","Khadijah Mosque",502,687497,"Geylang"
"511m","Tick Tack Toe Foot Spa",511,687497,"Geylang"
"579m","Masjid Haji Mohd Salleh",579,687497,"Geylang"
"601m","Zhen Man Fruit Juice",601,687497,"Geylang"
"17.8km","Singapore Changi Airport",17790,71906273,"Geylang"
"23.4km","Woodlands Train Checkpoint",23420,71906273,"Geylang"
"790m","Aljunied",790,71906273,"Geylang"
"970m","Kallang",970,71906273,"Geylang"
"1.2km","Geylang",1150,71906273,"Geylang"
"45m","Kang Ha Pheng Sim Kok",45,71906273,"Geylang"
"325m","Masjid Haji Mohd Salleh",325,71906273,"Geylang"
"474m","Encounter - Real life Suspense Game",474,71906273,"Geylang"
"487m","g.spa Fitness and Recreation Hub",487,71906273,"Geylang"
"487m","Aljunied",487,71906273,"Geylang"
"497m","Gymkraft",497,71906273,"Geylang"
"598m","Fun Empire",598,71906273,"Geylang"
"685m","Sri Krishna Mandir",685,71906273,"Geylang"
"735m","Khadijah Mosque",735,71906273,"Geylang"
"764m","Tick Tack Toe Foot Spa",764,71906273,"Geylang"
"27.5km","Singapore Changi Airport",27520,996048,"Sentosa Island"
"30.8km","Woodlands Train Checkpoint",30760,996048,"Sentosa Island"
"630m","Imbiah",630,996048,"Sentosa Island"
"1.1km","Waterfront",1080,996048,"Sentosa Island"
"2.2km","Sentosa Island",2250,996048,"Sentosa Island"
"136m","Adventure Cove Waterpark",136,996048,"Sentosa Island"
"157m","Dolphin Island",157,996048,"Sentosa Island"
"183m","Ray Bay",183,996048,"Sentosa Island"
"206m","Resorts World Theater",206,996048,"Sentosa Island"
"221m","Sentosa Nature Discovery",221,996048,"Sentosa Island"
"240m","Royal Albatross",240,996048,"Sentosa Island"
"271m","S.E.A. Aquarium",271,996048,"Sentosa Island"
"282m","Adventure Cove Waterpark",282,996048,"Sentosa Island"
"289m","Butterfly Park & Insect Kingdom",289,996048,"Sentosa Island"
"295m","SkyHelix Sentosa",295,996048,"Sentosa Island"
"23.1km","Singapore Changi Airport",23150,996302,"Sentosa Island"
"21.5km","Woodlands Train Checkpoint",21460,996302,"Sentosa Island"
"590m","Imbiah",590,996302,"Sentosa Island"
"730m","Waterfront",730,996302,"Sentosa Island"
"1.9km","Sentosa Island",1900,996302,"Sentosa Island"
"67m","Cine Blast",67,996302,"Sentosa Island"
"67m","Sentosa 4D Magix",67,996302,"Sentosa Island"
"129m","Butterfly Park & Insect Kingdom",129,996302,"Sentosa Island"
"130m","Sentosa 4D AdventureLand",130,996302,"Sentosa Island"
"156m","Imbiah",156,996302,"Sentosa Island"
"176m","Sentosa Nature Discovery",176,996302,"Sentosa Island"
"225m","SkyHelix Sentosa",225,996302,"Sentosa Island"
"237m","Tiger Sky Tower",237,996302,"Sentosa Island"
"259m","AJ Hackett Sentosa",259,996302,"Sentosa Island"
"284m","Wave House Sentosa",284,996302,"Sentosa Island"
"20.4km","Singapore Changi Airport",20440,4439330,"Lavender"
"24.7km","Woodlands Train Checkpoint",24710,4439330,"Lavender"
"400m","Bendemeer MRT",400,4439330,"Lavender"
"670m","Lavender",670,4439330,"Lavender"
"580m","Lavender",580,4439330,"Lavender"
"175m","Boulder+",175,4439330,"Lavender"
"208m","Wellaholic (Lavender Outlet)",208,4439330,"Lavender"
"300m","Thekchen Choling",300,4439330,"Lavender"
"333m","Jalan Besar Stadium",333,4439330,"Lavender"
"379m","Soon Kee Boneless Lor Duck Rice",379,4439330,"Lavender"
"394m","Jalan Besar Swimming Complex",394,4439330,"Lavender"
"403m","Sushi Bee",403,4439330,"Lavender"
"437m","Sri Manmatha Karuneshvarar Temple",437,4439330,"Lavender"
"587m","Petain Road",587,4439330,"Lavender"
"595m","Putian Tiandao Church",595,4439330,"Lavender"
"20.2km","Singapore Changi Airport",20220,49529767,"Lavender"
"24.5km","Woodlands Train Checkpoint",24520,49529767,"Lavender"
"510m","Lavender",510,49529767,"Lavender"
"660m","Bendemeer MRT",660,49529767,"Lavender"
"370m","Lavender",370,49529767,"Lavender"
"50m","Boulder+",50,49529767,"Lavender"
"122m","Wellaholic (Lavender Outlet)",122,49529767,"Lavender"
"274m","Sri Manmatha Karuneshvarar Temple",274,49529767,"Lavender"
"283m","Sushi Bee",283,49529767,"Lavender"
"384m","Jalan Besar Stadium",384,49529767,"Lavender"
"412m","Soon Kee Boneless Lor Duck Rice",412,49529767,"Lavender"
"439m","Thekchen Choling",439,49529767,"Lavender"
"457m","Jalan Besar Swimming Complex",457,49529767,"Lavender"
"608m","Putian Tiandao Church",608,49529767,"Lavender"
"620m","Malabar Mosque",620,49529767,"Lavender"
"20.6km","Singapore Changi Airport",20580,10031649,"Lavender"
"24.7km","Woodlands Train Checkpoint",24720,10031649,"Lavender"
"300m","Bendemeer MRT",300,10031649,"Lavender"
"690m","Lavender",690,10031649,"Lavender"
"680m","Lavender",680,10031649,"Lavender"
"235m","Boulder+",235,10031649,"Lavender"
"275m","Wellaholic (Lavender Outlet)",275,10031649,"Lavender"
"281m","Thekchen Choling",281,10031649,"Lavender"
"360m","Jalan Besar Stadium",360,10031649,"Lavender"
"410m","Soon Kee Boneless Lor Duck Rice",410,10031649,"Lavender"
"411m","Jalan Besar Swimming Complex",411,10031649,"Lavender"
"469m","Sushi Bee",469,10031649,"Lavender"
"494m","Sri Manmatha Karuneshvarar Temple",494,10031649,"Lavender"
"565m","Petain Road",565,10031649,"Lavender"
"626m","Putian Tiandao Church",626,10031649,"Lavender"
"20.6km","Singapore Changi Airport",20640,1172034,"Lavender"
"23.1km","Woodlands Train Checkpoint",23060,1172034,"Lavender"
"450m","Bendemeer MRT",450,1172034,"Lavender"
"840m","Lavender",840,1172034,"Lavender"
"690m","Lavender",690,1172034,"Lavender"
"170m","Thekchen Choling",170,1172034,"Lavender"
"312m","Jalan Besar Stadium",312,1172034,"Lavender"
"336m","Wellaholic (Lavender Outlet)",336,1172034,"Lavender"
"345m","Jalan Besar Swimming Complex",345,1172034,"Lavender"
"346m","Boulder+",346,1172034,"Lavender"
"366m","Soon Kee Boneless Lor Duck Rice",366,1172034,"Lavender"
"445m","Petain Road",445,1172034,"Lavender"
"517m","Sushi Bee",517,1172034,"Lavender"
"533m","Sri Vadapathira Kaliamman Temple",533,1172034,"Lavender"
"557m","Airzone",557,1172034,"Lavender"
"31.9km","Singapore Changi Airport",31860,995029,"West Coast"
"21.4km","Woodlands Train Checkpoint",21360,995029,"West Coast"
"2.5km","Kent Ridge",2530,995029,"West Coast"
"3.4km","Haw Par Villa",3360,995029,"West Coast"
"6.9km","West Coast",6920,995029,"West Coast"
"191m","Pasir Panjang",191,995029,"West Coast"
"408m","West Coast Park",408,995029,"West Coast"
"824m","National University of Singapore",824,995029,"West Coast"
"921m","Yusof Ishak House",921,995029,"West Coast"
"961m","NUS Museum",961,995029,"West Coast"
"1km","Lee Kong Chian Natural History Museum",1021,995029,"West Coast"
"1.1km","Yong Siew Toh Conservatory of Music",1075,995029,"West Coast"
"1.2km","E-Waves Fishbyte Pte Ltd",1249,995029,"West Coast"
"1.6km","Medway Park",1598,995029,"West Coast"
"1.7km","Haw Par Villa (Tiger Balm Gardens)",1722,995029,"West Coast"
"30.5km","Singapore Changi Airport",30490,22120926,"West Coast"
"23.5km","Woodlands Train Checkpoint",23490,22120926,"West Coast"
"970m","Haw Par Villa",970,22120926,"West Coast"
"2km","Pasir Panjang",1970,22120926,"West Coast"
"7.6km","West Coast",7620,22120926,"West Coast"
"287m","Food Prowlers",287,22120926,"West Coast"
"480m","Kent Ridge Park",480,22120926,"West Coast"
"663m","Haw Par Villa (Tiger Balm Gardens)",663,22120926,"West Coast"
"729m","Reflections at Bukit Chandu",729,22120926,"West Coast"
"1km","Himapan Studio",1035,22120926,"West Coast"
"1km","Lloyd Marine Yacht Charters",1037,22120926,"West Coast"
"1.3km","Brass Lion Distillery",1257,22120926,"West Coast"
"1.3km","Hort Park",1264,22120926,"West Coast"
"1.6km","Alexandra Arch",1607,22120926,"West Coast"
"1.6km","EsBoudoir - ARC",1648,22120926,"West Coast"
"25.9km","Singapore Changi Airport",25940,1352960,"Harbourfront"
"29.2km","Woodlands Train Checkpoint",29160,1352960,"Harbourfront"
"600m","Telok Blangah",600,1352960,"Harbourfront"
"1.1km","HarbourFront",1130,1352960,"Harbourfront"
"2.4km","Harbourfront",2400,1352960,"Harbourfront"
"319m","Danish Seamen's Church",319,1352960,"Harbourfront"
"331m","Keppel Hill Reservoir",331,1352960,"Harbourfront"
"439m","Mount Faber Park",439,1352960,"Harbourfront"
"465m","Singapore Cable Car",465,1352960,"Harbourfront"
"477m","the Ridges",477,1352960,"Harbourfront"
"517m","Ban Siew San Temple",517,1352960,"Harbourfront"
"611m","Henderson Waves",611,1352960,"Harbourfront"
"680m","Al-Amin Mosque",680,1352960,"Harbourfront"
"754m","Imbiah Lookout",754,1352960,"Harbourfront"
"791m","Green Roof",791,1352960,"Harbourfront"
"19.6km","Singapore Changi Airport",19560,91843643,"Singapore River"
"19km","Woodlands Train Checkpoint",19020,91843643,"Singapore River"
"750m","Outram Park",750,91843643,"Singapore River"
"880m","Tiong Bahru",880,91843643,"Singapore River"
"690m","Singapore River",690,91843643,"Singapore River"
"247m","Waka Waka",247,91843643,"Singapore River"
"297m","Tiong Bahru Estate",297,91843643,"Singapore River"
"360m","Seng Poh Garden & Dancing Girl Sculpture",360,91843643,"Singapore River"
"433m","Pearl's Hill City Park",433,91843643,"Singapore River"
"447m","Nimble/Knead",447,91843643,"Singapore River"
"484m","Pasar and the Fortune Teller",484,91843643,"Singapore River"
"534m","Eu Chin Street",534,91843643,"Singapore River"
"621m","College of Medicine Building",621,91843643,"Singapore River"
"627m","Tiong Bahru Air Raid Shelter",627,91843643,"Singapore River"
"632m","Black Crow Taxidermy & Art",632,91843643,"Singapore River"
"23.7km","Singapore Changi Airport",23670,7005076,"Chinatown"
"29.8km","Woodlands Train Checkpoint",29840,7005076,"Chinatown"
"580m","Chinatown",580,7005076,"Chinatown"
"740m","Telok Ayer",740,7005076,"Chinatown"
"630m","Chinatown",630,7005076,"Chinatown"
"14m","Chinatown Singapore",14,7005076,"Chinatown"
"38m","Chinese Opera Teahouse, Chinese Theatre Circle",38,7005076,"Chinatown"
"46m","Buddha Tooth Relic Temple",46,7005076,"Chinatown"
"69m","Chinatown Mid-Autumn Festival Light-Up and Celebrations",69,7005076,"Chinatown"
"69m","Sago Street (Street Of The Dead)",69,7005076,"Chinatown"
"73m","Afond Boutique Spa",73,7005076,"Chinatown"
"79m","Healthland Thai Massage",79,7005076,"Chinatown"
"86m","One One Reflexology & Healthcare Center",86,7005076,"Chinatown"
"129m","Kreta Ayer Square",129,7005076,"Chinatown"
"130m","Truefitt & Hill",130,7005076,"Chinatown"
"23.8km","Singapore Changi Airport",23820,76519504,"Chinatown"
"29.4km","Woodlands Train Checkpoint",29370,76519504,"Chinatown"
"360m","Chinatown",360,76519504,"Chinatown"
"680m","Telok Ayer",680,76519504,"Chinatown"
"820m","Chinatown",820,76519504,"Chinatown"
"8m","Jamae Mosque",8,76519504,"Chinatown"
"53m","Mohamed Ali Lane",53,76519504,"Chinatown"
"56m","Sri Mariamman Temple",56,76519504,"Chinatown"
"65m","Orient Health Management",65,76519504,"Chinatown"
"99m","Singapore Coins And Notes Museum",99,76519504,"Chinatown"
"107m","Healthland Thai Massage",107,76519504,"Chinatown"
"108m","NIWADO (TCM) WELLNESS",108,76519504,"Chinatown"
"120m","Chinatown Heritage Centre",120,76519504,"Chinatown"
"124m","Afond Boutique Spa",124,76519504,"Chinatown"
"128m","Heading Home (Rickshaw)",128,76519504,"Chinatown"
"16.6km","Singapore Changi Airport",16600,2510063,"Geylang"
"26km","Woodlands Train Checkpoint",25980,2510063,"Geylang"
"690m","Aljunied",690,2510063,"Geylang"
"980m","Dakota",980,2510063,"Geylang"
"1.2km","Geylang",1250,2510063,"Geylang"
"105m","Encounter - Real life Suspense Game",105,2510063,"Geylang"
"272m","g.spa Fitness and Recreation Hub",272,2510063,"Geylang"
"310m","Sri Krishna Mandir",310,2510063,"Geylang"
"315m","Tick Tack Toe Foot Spa",315,2510063,"Geylang"
"319m","Khadijah Mosque",319,2510063,"Geylang"
"353m","Gymkraft",353,2510063,"Geylang"
"481m","Aljunied",481,2510063,"Geylang"
"489m","Zhen Man Fruit Juice",489,2510063,"Geylang"
"502m","Tan Swie Hian Museum",502,2510063,"Geylang"
"562m","Kang Ha Pheng Sim Kok",562,2510063,"Geylang"
"18.1km","Singapore Changi Airport",18120,687580,"Geylang"
"23.8km","Woodlands Train Checkpoint",23750,687580,"Geylang"
"700m","Aljunied",700,687580,"Geylang"
"1.1km","Mountbatten",1100,687580,"Geylang"
"1km","Geylang",1030,687580,"Geylang"
"139m","Encounter - Real life Suspense Game",139,687580,"Geylang"
"231m","g.spa Fitness and Recreation Hub",231,687580,"Geylang"
"299m","Gymkraft",299,687580,"Geylang"
"397m","Sri Krishna Mandir",397,687580,"Geylang"
"419m","Kang Ha Pheng Sim Kok",419,687580,"Geylang"
"425m","Khadijah Mosque",425,687580,"Geylang"
"435m","Tick Tack Toe Foot Spa",435,687580,"Geylang"
"443m","Aljunied",443,687580,"Geylang"
"585m","Zhen Man Fruit Juice",585,687580,"Geylang"
"591m","Tan Swie Hian Museum",591,687580,"Geylang"
"22.7km","Singapore Changi Airport",22680,991875,"Orchard Road"
"18.8km","Woodlands Train Checkpoint",18770,991875,"Orchard Road"
"250m","Newton",250,991875,"Orchard Road"
"1.5km","Orchard",1470,991875,"Orchard Road"
"740m","Orchard Road",740,991875,"Orchard Road"
"373m","Newton Life Church",373,991875,"Orchard Road"
"379m","SK-II Boutique Spa",379,991875,"Orchard Road"
"584m","Zhao Wei Films",584,991875,"Orchard Road"
"627m","EGT Scooter",627,991875,"Orchard Road"
"639m","Spa Rael Goodwood Park Hotel",639,991875,"Orchard Road"
"647m","Imbiah Battery",647,991875,"Orchard Road"
"702m","My Cozy Room Boutique Spa",702,991875,"Orchard Road"
"766m","The American Club Singapore",766,991875,"Orchard Road"
"767m","Padma Spa",767,991875,"Orchard Road"
"777m","Sense De Belle",777,991875,"Orchard Road"
"26km","Woodlands Train Checkpoint",25970,67727971,"Bugis"
"162m","DrSpa",162,67727971,"Bugis"
"206m","GOURMETbus",206,67727971,"Bugis"
"206m","Dream Drive Pte Ltd",206,67727971,"Bugis"
"206m","Cool de Sac Play Centre",206,67727971,"Bugis"
"206m","Singapore Trolley",206,67727971,"Bugis"
"206m","Live Life Detour",206,67727971,"Bugis"
"206m","Calla Spa",206,67727971,"Bugis"
"213m","Spa Club At Beach Road",213,67727971,"Bugis"
"242m","SuperPark Singapore",242,67727971,"Bugis"
"269m","Parkview Square",269,67727971,"Bugis"
"26km","Singapore Changi Airport",26000,687567,"Singapore River"
"21.4km","Woodlands Train Checkpoint",21410,687567,"Singapore River"
"810m","Tiong Bahru",810,687567,"Singapore River"
"1km","Outram Park",1040,687567,"Singapore River"
"1.2km","Singapore River",1230,687567,"Singapore River"
"222m","Waka Waka",222,687567,"Singapore River"
"243m","Tiong Bahru Estate",243,687567,"Singapore River"
"282m","Seng Poh Garden & Dancing Girl Sculpture",282,687567,"Singapore River"
"381m","Nimble/Knead",381,687567,"Singapore River"
"422m","Pasar and the Fortune Teller",422,687567,"Singapore River"
"465m","Eu Chin Street",465,687567,"Singapore River"
"527m","Pearl's Hill City Park",527,687567,"Singapore River"
"558m","Tiong Bahru Air Raid Shelter",558,687567,"Singapore River"
"616m","College of Medicine Building",616,687567,"Singapore River"
"701m","Alkaff Bridge",701,687567,"Singapore River"
"21.5km","Singapore Changi Airport",21490,995057,"Chinatown"
"28.8km","Woodlands Train Checkpoint",28780,995057,"Chinatown"
"20m","Chinatown",20,995057,"Chinatown"
"580m","Telok Ayer",580,995057,"Chinatown"
"1.1km","Chinatown",1140,995057,"Chinatown"
"42m","Tai Cha Mixed Veg Rice & Porridge",42,995057,"Chinatown"
"43m","SL II Muffin",43,995057,"Chinatown"
"49m","Tamoya",49,995057,"Chinatown"
"77m","St. Gregory Spa",77,995057,"Chinatown"
"160m","NIWADO (TCM) WELLNESS",160,995057,"Chinatown"
"166m","Orient Health Management",166,995057,"Chinatown"
"172m","People of the River",172,995057,"Chinatown"
"181m","The Oriental Spa Chamber",181,995057,"Chinatown"
"190m","Hong Lim Park",190,995057,"Chinatown"
"202m","Heritage Marker SB31 - Squatters & Squalor",202,995057,"Chinatown"
"21.8km","Singapore Changi Airport",21750,1016825,"Singapore River"
"22km","Woodlands Train Checkpoint",22030,1016825,"Singapore River"
"650m","Fort Canning MRT",650,1016825,"Singapore River"
"740m","Chinatown",740,1016825,"Singapore River"
"940m","Singapore River",940,1016825,"Singapore River"
"67m","Tan Si Chong Su Temple",67,1016825,"Singapore River"
"69m","Café Iguana",69,1016825,"Singapore River"
"137m","Singapore River Cruise",137,1016825,"Singapore River"
"183m","Read Bridge　(Malacca Bridge)",183,1016825,"Singapore River"
"184m","Singapore Round Cruise Water B",184,1016825,"Singapore River"
"210m","Masjid Omar Kampong Melaka",210,1016825,"Singapore River"
"251m","Highlander",251,1016825,"Singapore River"
"264m","Party World Clementi KTV",264,1016825,"Singapore River"
"290m","Holey Moley Golf Club",290,1016825,"Singapore River"
"293m","Singapore Repertory Theatre",293,1016825,"Singapore River"
"19.9km","Singapore Changi Airport",19920,989578,"Little India"
"21.4km","Woodlands Train Checkpoint",21350,989578,"Little India"
"470m","Farrer Park",470,989578,"Little India"
"520m","Jalan Besar MRT",520,989578,"Little India"
"240m","Little India",240,989578,"Little India"
"189m","Putian Tiandao Church",189,989578,"Little India"
"200m","Airzone",200,989578,"Little India"
"201m","UOB ATM - City Square Mall",201,989578,"Little India"
"241m","Post-Museum",241,989578,"Little India"
"254m","Jalan Besar Swimming Complex",254,989578,"Little India"
"296m","Soon Kee Boneless Lor Duck Rice",296,989578,"Little India"
"314m","Petain Road",314,989578,"Little India"
"323m","Jalan Besar Stadium",323,989578,"Little India"
"397m","Sri Srinivasa Perumal Temple",397,989578,"Little India"
"414m","Thekchen Choling",414,989578,"Little India"
"19.7km","Singapore Changi Airport",19660,1619617,"Lavender"
"21.4km","Woodlands Train Checkpoint",21410,1619617,"Lavender"
"550m","Jalan Besar MRT",550,1619617,"Lavender"
"800m","Lavender",800,1619617,"Lavender"
"430m","Lavender",430,1619617,"Lavender"
"124m","Putian Tiandao Church",124,1619617,"Lavender"
"142m","Soon Kee Boneless Lor Duck Rice",142,1619617,"Lavender"
"196m","Jalan Besar Stadium",196,1619617,"Lavender"
"198m","Jalan Besar Swimming Complex",198,1619617,"Lavender"
"326m","Sushi Bee",326,1619617,"Lavender"
"351m","Malabar Mosque",351,1619617,"Lavender"
"370m","Wellaholic (Lavender Outlet)",370,1619617,"Lavender"
"392m","Post-Museum",392,1619617,"Lavender"
"407m","Thekchen Choling",407,1619617,"Lavender"
"453m","Airzone",453,1619617,"Lavender"
"22.2km","Singapore Changi Airport",22160,996039,"Singapore River"
"22.2km","Woodlands Train Checkpoint",22170,996039,"Singapore River"
"380m","Clarke Quay",380,996039,"Singapore River"
"540m","Chinatown",540,996039,"Singapore River"
"1.3km","Singapore River",1280,996039,"Singapore River"
"70m","Aegean Spa",70,996039,"Singapore River"
"108m","The Joy Of Toys",108,996039,"Singapore River"
"118m","Read Bridge　(Malacca Bridge)",118,996039,"Singapore River"
"139m","goScoot",139,996039,"Singapore River"
"156m","Singapore River Cruise",156,996039,"Singapore River"
"159m","Facia Ginza Singapore",159,996039,"Singapore River"
"164m","Thong Chai Medical Institution",164,996039,"Singapore River"
"199m","G-MAX Reverse Bungy",199,996039,"Singapore River"
"203m","Shen Nong Spa",203,996039,"Singapore River"
"210m","Highlander",210,996039,"Singapore River"
"21.5km","Singapore Changi Airport",21540,50040639,"Singapore River"
"29.3km","Woodlands Train Checkpoint",29330,50040639,"Singapore River"
"450m","Clarke Quay",450,50040639,"Singapore River"
"580m","Chinatown",580,50040639,"Singapore River"
"390m","Boat Quay",390,50040639,"Singapore River"
"1.7km","Singapore River",1660,50040639,"Singapore River"
"3m","The Merry Lion Comedy Cafe And Bar",3,50040639,"Singapore River"
"47m","Rabbar Entertainment",47,50040639,"Singapore River"
"127m","Elgin Bridge",127,50040639,"Singapore River"
"129m","Sabaai Sabaai Thai Massage",129,50040639,"Singapore River"
"131m","Shen Nong Spa",131,50040639,"Singapore River"
"134m","Singapore River Festival",134,50040639,"Singapore River"
"180m","Fingerwork",180,50040639,"Singapore River"
"188m","Singapore River",188,50040639,"Singapore River"
"190m","Kraven",190,50040639,"Singapore River"
"207m","Urbane Nomads",207,50040639,"Singapore River"
"21.4km","Singapore Changi Airport",21440,5027874,"Singapore River"
"29.6km","Woodlands Train Checkpoint",29630,5027874,"Singapore River"
"280m","Clarke Quay",280,5027874,"Singapore River"
"470m","Chinatown",470,5027874,"Singapore River"
"360m","Boat Quay",360,5027874,"Singapore River"
"1.4km","Singapore River",1420,5027874,"Singapore River"
"38m","Elgin Bridge",38,5027874,"Singapore River"
"94m","The Merry Lion Comedy Cafe And Bar",94,5027874,"Singapore River"
"109m","Rabbar Entertainment",109,5027874,"Singapore River"
"119m","SG Eat About",119,5027874,"Singapore River"
"119m","Urbane Nomads",119,5027874,"Singapore River"
"123m","Pulau Seking",123,5027874,"Singapore River"
"128m","Coleman Bridge",128,5027874,"Singapore River"
"149m","The Bicycle Hut",149,5027874,"Singapore River"
"156m","Parliament Of Singapore",156,5027874,"Singapore River"
"157m","Shen Nong Spa",157,5027874,"Singapore River"
"20.4km","Singapore Changi Airport",20360,5859858,"Little India"
"20.5km","Woodlands Train Checkpoint",20540,5859858,"Little India"
"280m","Little India",280,5859858,"Little India"
"640m","Rochor",640,5859858,"Little India"
"950m","Little India",950,5859858,"Little India"
"20m","Sri Veeramakaliamman Temple",20,5859858,"Little India"
"70m","Lady Fair Beauty Centre",70,5859858,"Little India"
"132m","Shree Lakshminarayan Temple",132,5859858,"Little India"
"148m","W!ld Rice",148,5859858,"Little India"
"163m","Little India",163,5859858,"Little India"
"167m","Amrita Ayurveda and Yoga",167,5859858,"Little India"
"178m","Tan Teng Niah",178,5859858,"Little India"
"228m","Mahatma Gandhi Memorial",228,5859858,"Little India"
"230m","Deepavali Festival Village",230,5859858,"Little India"
"231m","Kampong Kapor Methodist Church",231,5859858,"Little India"
"19.8km","Singapore Changi Airport",19830,78045165,"Little India"
"21.3km","Woodlands Train Checkpoint",21280,78045165,"Little India"
"390m","Rochor",390,78045165,"Little India"
"430m","Jalan Besar MRT",430,78045165,"Little India"
"870m","Little India",870,78045165,"Little India"
"25m","Church of True Light",25,78045165,"Little India"
"25m","Singapore Footprints",25,78045165,"Little India"
"105m","Abdul Gaffoor Mosque",105,78045165,"Little India"
"109m","Tools of Old Singapore",109,78045165,"Little India"
"112m","Masjid Abdul Gafoor",112,78045165,"Little India"
"187m","Kampong Kapor Methodist Church",187,78045165,"Little India"
"215m","Indian Heritage Centre",215,78045165,"Little India"
"217m","Campbell Lane",217,78045165,"Little India"
"231m","Amrita Ayurveda and Yoga",231,78045165,"Little India"
"292m","Little India",292,78045165,"Little India"
"17.1km","Singapore Changi Airport",17100,995031,"Geylang"
"23.6km","Woodlands Train Checkpoint",23580,995031,"Geylang"
"990m","Aljunied",990,995031,"Geylang"
"1.1km","Kallang",1080,995031,"Geylang"
"1.3km","Geylang",1320,995031,"Geylang"
"264m","Kang Ha Pheng Sim Kok",264,995031,"Geylang"
"270m","g.spa Fitness and Recreation Hub",270,995031,"Geylang"
"278m","Gymkraft",278,995031,"Geylang"
"367m","Encounter - Real life Suspense Game",367,995031,"Geylang"
"416m","Masjid Haji Mohd Salleh",416,995031,"Geylang"
